"filename", "language", "Dart", "comment", "blank", "total"
"/Users/apoorvmalik/Desktop/flutter_chess/lib/agents/agents.dart", "Dart", 2, 0, 1, 3
"/Users/apoorvmalik/Desktop/flutter_chess/lib/agents/base_agent.dart", "Dart", 7, 0, 5, 12
"/Users/apoorvmalik/Desktop/flutter_chess/lib/agents/random_agent.dart", "Dart", 19, 0, 4, 23
"/Users/apoorvmalik/Desktop/flutter_chess/lib/config/config.dart", "Dart", 2, 0, 1, 3
"/Users/apoorvmalik/Desktop/flutter_chess/lib/config/custom_route.dart", "Dart", 16, 0, 3, 19
"/Users/apoorvmalik/Desktop/flutter_chess/lib/config/custom_router.dart", "Dart", 35, 0, 5, 40
"/Users/apoorvmalik/Desktop/flutter_chess/lib/constants.dart", "Dart", 8, 0, 2, 10
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/base_chess_controller.dart", "Dart", 276, 28, 37, 341
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/chess_controller.dart", "Dart", 348, 45, 82, 475
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/controller.dart", "Dart", 3, 0, 1, 4
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/enums.dart", "Dart", 18, 0, 2, 20
"/Users/apoorvmalik/Desktop/flutter_chess/lib/controller/movement_vector.dart", "Dart", 77, 1, 17, 95
"/Users/apoorvmalik/Desktop/flutter_chess/lib/extensions/extensions.dart", "Dart", 1, 0, 1, 2
"/Users/apoorvmalik/Desktop/flutter_chess/lib/extensions/string_extensions.dart", "Dart", 4, 0, 2, 6
"/Users/apoorvmalik/Desktop/flutter_chess/lib/main.dart", "Dart", 24, 0, 6, 30
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/game/game_screen.dart", "Dart", 263, 13, 22, 298
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/main_menu/main_menu_screen.dart", "Dart", 110, 0, 6, 116
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/option/option_screen.dart", "Dart", 349, 7, 14, 370
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/screens.dart", "Dart", 4, 0, 1, 5
"/Users/apoorvmalik/Desktop/flutter_chess/lib/screens/splash/splash_screen.dart", "Dart", 33, 0, 5, 38
"/Users/apoorvmalik/Desktop/flutter_chess/lib/theme.dart", "Dart", 100, 0, 2, 102
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/adaptive_horizontal_padding.dart", "Dart", 20, 0, 5, 25
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/chess_board/chess_board.dart", "Dart", 181, 7, 15, 203
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/chess_board/chess_board_cell.dart", "Dart", 122, 0, 10, 132
"/Users/apoorvmalik/Desktop/flutter_chess/lib/widgets/widgets.dart", "Dart", 2, 0, 1, 3
"Total", "-", 2024, 101, 250, 2375
